name,radar_an,radar_an2,radar_m0,radar_per,Unnamed: 5,vis_an,vis_an2,vis_swh1,vis_swh2,vis_per1,vis_per2,vis_len1,vis_len2,radar_an3,lat_radar,lon_radar,speed,sat_swh
2022-11-28_17-54,,,,,,280,140,2.9,1.7,13,4.9,112,11.8,,34.7773569516869,-8.2093127712462,4.87310416666667,3.143
2022-11-29_11-56,,,,,,< 0.3,,0.3,,,,,,,36.0129039434218,-4.80053273385469,5.62439583333333,0.728
2022-11-29_15-53,,,,,,< 0.3,,0.3,,,,,,,36.12144456603,-3.8902605855761,5.89197916666667,
2022-11-30_07-56,,,,,,17,,0.4,,5.3,,12,,,36.6315934882899,-0.322467138577668,5.03777083333333,0.654
2022-11-30_10-56,,,,,,< 0.3,,0.3,,,,,,,36.8078262354467,0.234570182369511,5.05320833333333,0.811
2022-11-30_16-58,,,,,,30,,0.7,,8.5,,25,,,37.1648132102423,1.42460070086107,5.434,0.601
2022-12-01_07-11,,,,,,25,,0.8,,6.5,,18,,,37.8820840897857,3.82291165442724,4.54891666666667,0.972
2022-12-01_09-55,,,,,,18,,0.7,,5.9,,16.4,,,38.0273445989455,4.30981564452827,4.8165,1.117
2022-12-01_14-54,,,,,,15,335,0.8,0.7,6.3,6.5,14,30,,38.090539154132,5.32869187519292,5.08408333333333,0.983
2022-12-02_06-57,,,,,,< 0.3,,0.3,,,,,,,38.0738189871435,8.58137402289216,5.34652083333333,
2022-12-02_10-52,,,,,,110,,1,,6.2,,18.4,,,38.0737087785866,9.46457007417691,5.52147916666667,
2022-12-02_15-58,,,,,,209,,1.6,,6,,17,,,37.9921492775539,10.4784951568615,4.65183333333333,1.601
2022-12-03_06-55,,,,,,180,,2.4,,6,,23,,,36.6437216155939,12.5899984987728,4.19642708333333,
2022-12-03_10-55,,,,,,216,,3.2,,8,,28,,,36.3309993146284,13.0726942829879,3.49916666666667,
2022-12-03_15-27,,,,,,236,,3.2,,7,,29,,,35.9947186627977,13.5934389819714,4.07292708333333,1.844
2022-12-04_06-55,,,,,,150,,2.4,,8,,43,,,35.4626137069337,16.13815058183,4.65697916666667,2.858
2022-12-04_09-56,,,,,,150,,2,,8.4,,42,,,35.4647592404015,16.7122227563908,4.93742708333333,
2022-12-04_13-55,,,,,,155,,1.8,,8,,33,,,35.4653403044237,17.5128997548738,5.16127083333333,1.921
2022-12-05_05-58,,,,,,80,,1.2,,5.4,,27,,,35.4643361425468,20.7812543899788,5.16127083333333,
2022-12-05_09-51,,,,,,230,190,1,0.8,8,4.5,40,12,,35.4643189797659,21.5370194059762,4.76504166666667,
2022-12-05_13-59,,,,,,180,240,0.9,0.9,5,9,12,35,,35.4652138507438,22.3372132240109,5.0480625,
